time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7;cpu_8;cpu_9;cpu_10;cpu_11;cpu_12;cpu_13;cpu_14;cpu_15
76818;0;3350;6;-59;59;2536.362061;1;-81;-819;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;24;20;22;20;34;28;32;30;32;18;16;26;10;34;22;14
77317;0;3350;6;-58;58;2535.608887;1;-81;-828;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;22;18;18;20;30;28;30;30;32;20;22;26;16;36;24;16
77816;0;3350;6;-58;58;2542.276611;1;-81;-828;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;22;20;22;20;32;26;28;32;32;20;16;24;16;34;24;16
78315;0;3350;6;-58;58;2547.638428;1;-81;-810;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;24;22;26;22;34;26;28;30;32;18;18;24;14;34;22;16
78814;0;3350;6;-58;58;2543.576660;1;-81;-833;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;18;18;26;18;32;26;22;30;32;20;20;26;16;36;24;16
79313;0;3350;6;-58;58;2539.068115;1;-82;-785;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.0;23;24;20;32;22;34;28;26;32;32;18;18;24;14;34;22;18
79812;0;3350;6;-58;58;2539.920166;1;-82;-785;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.6;23;18;18;22;18;30;24;22;30;34;18;18;26;20;36;24;16
80311;0;3350;6;-58;58;2540.012207;1;-82;-785;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.0;23;20;20;30;20;32;28;24;30;32;20;18;26;20;36;22;16
80810;0;3350;6;-58;58;2541.045654;1;-82;-785;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.6;23;20;18;20;22;30;24;22;30;32;18;20;24;18;36;24;16
81309;0;3350;6;-58;58;2537.826172;1;-82;-785;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;22;30;22;28;26;28;26;32;32;20;16;26;18;34;24;14
81808;0;3350;6;-58;58;2539.368164;1;-82;-785;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;22;30;18;20;30;24;22;30;32;18;18;26;18;36;22;18
82307;0;3350;6;-58;58;2540.489258;1;-82;-785;0.0;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.0;23;20;22;28;22;36;26;24;30;34;20;18;26;20;34;24;16
82806;0;3350;6;-58;58;2540.791504;1;-82;-815;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.9;23;22;18;28;26;26;26;26;32;32;20;16;26;16;34;24;16
83305;0;3350;6;-58;58;2541.641602;1;-82;-815;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;22;22;26;30;28;26;26;30;32;20;16;26;14;34;22;16
83804;0;3350;6;-58;58;2539.357666;1;-82;-815;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;22;18;32;18;24;26;26;30;32;18;20;26;14;36;24;16
84303;0;3350;6;-58;58;2537.727295;1;-82;-815;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;6.1;23;28;20;30;22;26;28;26;32;32;18;18;24;14;34;22;26
84802;0;3350;6;-58;58;2537.737549;1;-82;-815;0.0;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6;939276;2148184;53;5.8;23;24;30;24;20;20;32;28;30;32;20;16;26;14;34;24;14
